,name,location,place,coordinates,latitude,longitude
23,Zoo Bar & Club,"{'type': 'Point', 'coordinates': [-0.1289614501, 51.5110114773]}",party,"[51.5110114773, -0.1289614501]",51.5110114773,-0.1289614501
24,Govinda's Restaurant,"{'type': 'Point', 'coordinates': [-0.1325903449, 51.5158970397]}",vegan,"[51.5158970397, -0.1325903449]",51.5158970397,-0.1325903449
25,Kaplan International Colleges,"{'type': 'Point', 'coordinates': [-0.1286093807, 51.509903079]}",school,"[51.509903079, -0.1286093807]",51.509903079,-0.1286093807
26,UK College Of English,"{'type': 'Point', 'coordinates': [-0.13265614, 51.51613711]}",school,"[51.51613711, -0.13265614]",51.51613711,-0.13265614
27,The Porcupine,"{'type': 'Point', 'coordinates': [-0.1283406445, 51.5118520278]}",party,"[51.5118520278, -0.1283406445]",51.5118520278,-0.1283406445
28,Cafe Koha,"{'type': 'Point', 'coordinates': [-0.1278901647, 51.5112189458]}",party,"[51.5112189458, -0.1278901647]",51.5112189458,-0.1278901647
29,Pret A Manger,"{'type': 'Point', 'coordinates': [-0.1286604122, 51.5136287823]}",vegan,"[51.5136287823, -0.1286604122]",51.5136287823,-0.1286604122
30,Starbucks,"{'type': 'Point', 'coordinates': [-0.130191, 51.515233]}",starbucks,"[51.515233, -0.130191]",51.515233,-0.130191
31,Covent Garden Cocktail Club,"{'type': 'Point', 'coordinates': [-0.1274020229, 51.5118307416]}",party,"[51.5118307416, -0.1274020229]",51.5118307416,-0.1274020229
32,Avalon School,"{'type': 'Point', 'coordinates': [-0.1295408197, 51.5152084159]}",school,"[51.5152084159, -0.1295408197]",51.5152084159,-0.1295408197
33,Trafalgar Square,"{'type': 'Point', 'coordinates': [-0.128048, 51.507987]}",party,"[51.507987, -0.128048]",51.507987,-0.128048
34,La Gelatiera,"{'type': 'Point', 'coordinates': [-0.1268280267, 51.5110460332]}",vegan,"[51.5110460332, -0.1268280267]",51.5110460332,-0.1268280267
35,TY Seven Dials - Timberyard,"{'type': 'Point', 'coordinates': [-0.1271978986, 51.5128529171]}",vegan,"[51.5128529171, -0.1271978986]",51.5128529171,-0.1271978986
36,Dishoom,"{'type': 'Point', 'coordinates': [-0.1269489527, 51.5123832618]}",vegan,"[51.5123832618, -0.1269489527]",51.5123832618,-0.1269489527
37,Starbucks,"{'type': 'Point', 'coordinates': [-0.15032, 51.514684]}",starbucks,"[51.514684, -0.15032]",51.514684,-0.15032
38,Café In The Crypt,"{'type': 'Point', 'coordinates': [-0.1267290435, 51.5089623036]}",vegan,"[51.5089623036, -0.1267290435]",51.5089623036,-0.1267290435
39,Apple Butter Cafe,"{'type': 'Point', 'coordinates': [-0.127131, 51.513614]}",vegan,"[51.513614, -0.127131]",51.513614,-0.127131
40,Le Garrick Brasserie,"{'type': 'Point', 'coordinates': [-0.1261148653, 51.5115666498]}",party,"[51.5115666498, -0.1261148653]",51.5115666498,-0.1261148653
41,Starbucks,"{'type': 'Point', 'coordinates': [-0.129358, 51.516645]}",starbucks,"[51.516645, -0.129358]",51.516645,-0.129358
42,Starbucks,"{'type': 'Point', 'coordinates': [-0.151777, 51.514401]}",starbucks,"[51.514401, -0.151777]",51.514401,-0.151777
43,SaladPride,"{'type': 'Point', 'coordinates': [-0.1264286041, 51.5144414137]}",vegan,"[51.5144414137, -0.1264286041]",51.5144414137,-0.1264286041
44,Homeslice,"{'type': 'Point', 'coordinates': [-0.1264748684, 51.5145287497]}",vegan,"[51.5145287497, -0.1264748684]",51.5145287497,-0.1264748684
